title,year,minutes,genres,rating,votes,director,cast
The Young Master,1980,105,"Action,Adventure,Comedy",7,8638,Jackie Chan,"Jackie Chan,Pai Wei,Biao Yuen,Biao Yuen,Lily Li"
Super Fuzz,1980,97,"Action,Comedy,Fantasy",6.3,8622,Sergio Corbucci,"Terence Hill,Ernest Borgnine,Joanne Dru,Marc Lawrence,Julie Gordon"
City of Women,1980,139,"Comedy,Drama,Fantasy",6.9,8462,Federico Fellini,"Marcello Mastroianni,Anna Prucnal,Bernice Stegers,Jole Silvani,Donatella Damiani"
Bilo the Banker,1980,85,"Comedy,Drama",7.6,7668,Ertem Egilmez,"Ilyas Salman,Meral Zeren,Sener Sen,Sener Sen,Ahu Tugba"
The Watcher in the Woods,1980,84,"Family,Horror,Mystery",6.1,7454,John Hough,"Bette Davis,Lynn-Holly Johnson,Kyle Richards,Carroll Baker,David McCallum"
The Hunter,1980,97,"Action,Biography,Comedy",6.2,7419,Buzz Kulik,"Steve McQueen,Eli Wallach,Kathryn Harrold,LeVar Burton,Ben Johnson"
Antropophagus,1980,92,Horror,5.3,7294,Joe D'Amato,"Tisa Farrow,Saverio Vallone,Serena Grandi,Margaret Mazzantini,Mark Bodin"
My American Uncle,1980,125,"Comedy,Drama,Romance",7.6,7104,Alain Resnais,"Gérard Depardieu,Nicole Garcia,Roger Pierre,Nelly Borgeaud,Pierre Arditi"
Nightmare City,1980,88,"Horror,Sci-Fi,Thriller",5.6,7000,Umberto Lenzi,"Hugo Stiglitz,Laura Trotter,Maria Rosaria Omaggio,Francisco Rabal,Sonia Viviani"
Little Darlings,1980,96,"Comedy,Drama",6.5,6952,Ron Maxwell,"Tatum O'Neal,Kristy McNichol,Armand Assante,Matt Dillon,Margaret Blye"
The Exterminator,1980,104,"Action,Crime,Drama",5.7,6933,James Glickenhaus,"Robert Ginty,Samantha Eggar,Christopher George,Steve James,Tony DiBenedetto"
Mother's Day,1980,91,"Comedy,Horror,Thriller",5.3,6618,Charles Kaufman,"Tiana Pierce,Nancy Hendrickson,Deborah Luce,Frederick Coffin,Michael McCleery"
The Octagon,1980,103,"Action,Drama,Romance",5.1,6516,Eric Karson,"Chuck Norris,Karen Carlson,Lee Van Cleef,Art Hindle,Carol Bagdasarian"
Herbie Goes Bananas,1980,100,"Adventure,Comedy,Family",4.9,6509,Vincent McEveety,"Charles Martin Smith,Stephen W. Burns,Cloris Leachman,John Vernon,Elyssa Davalos"
"Pepi, Luci, Bom and Other Girls Like Mom",1980,82,Comedy,6.1,6394,Pedro Almodóvar,"Carmen Maura,Félix Rotaeta,Félix Rotaeta,Alaska,Eva Siva"
Tom Horn,1980,98,"Biography,Crime,Drama",6.8,6259,William Wiard,"Steve McQueen,Linda Evans,Richard Farnsworth,Billy Green Bush,Slim Pickens"
Hell of the Living Dead,1980,99,"Horror,Sci-Fi,Thriller",4.8,6249,Bruno Mattei,"Margie Newton,Franco Garofalo,Selan Karay,José Gras,Gabriel Renom"
House on the Edge of the Park,1980,91,"Horror,Thriller",5.7,6197,Ruggero Deodato,"David Hess,Annie Belle,Christian Borromeo,Giovanni Lombardo Radice,Marie Claude Joseph"
Zombie Holocaust,1980,84,"Adventure,Horror,Mystery",5.2,6140,Marino Girolami,"Ian McCulloch,Alexandra Delli Colli,Sherry Buchanan,Peter O'Neal,Donald O'Brien"
Battle Creek Brawl,1980,95,"Action,Comedy,Crime",5.7,6123,Robert Clouse,"Jackie Chan,Kristine DeBell,José Ferrer,Mako,Ron Max"
North Sea Hijack,1980,95,"Action,Adventure,Thriller",6.3,6102,Andrew V. McLaglen,"Roger Moore,James Mason,Anthony Perkins,Michael Parks,David Hedison"
Spetters,1980,120,"Drama,Romance,Sport",6.6,6076,Paul Verhoeven,"Hans van Tongeren,Renée Soutendijk,Toon Agterberg,Maarten Spanjer,Marianne Boyer"
Death Ship,1980,91,"Adventure,Horror,Mystery",4.8,6038,Alvin Rakoff,"George Kennedy,Richard Crenna,Nick Mancuso,Sally Ann Howes,Kate Reid"
Raise the Titanic,1980,115,"Action,Adventure,Drama",5.2,5780,Jerry Jameson,"Jason Robards,Richard Jordan,David Selby,Anne Archer,Alec Guinness"
The King and the Mockingbird,1980,83,"Animation,Family,Fantasy",7.7,5747,Paul Grimault,"Jean Martin,Pascal Mazzotti,Raymond Bussières,Agnès Viala,Renaud Marx"
Forbidden Zone,1980,74,"Comedy,Fantasy,Musical",6.5,5674,Richard Elfman,"Gene Cunningham,Gene Cunningham,Marie-Pascale Elfman,Marie-Pascale Elfman,Virginia Rose"
The Sea Wolves,1980,120,"Action,History,War",6.3,5626,Andrew V. McLaglen,"Gregory Peck,Roger Moore,David Niven,Trevor Howard,Barbara Kellerman"
Contamination,1980,95,"Horror,Sci-Fi",5.1,5554,Luigi Cozzi,"Ian McCulloch,Louise Marleau,Marino Masé,Siegfried Rauch,Gisela Hahn"
Melvin and Howard,1980,95,"Comedy,Drama",6.8,5505,Jonathan Demme,"Paul Le Mat,Jason Robards,Elizabeth Cheshire,Mary Steenburgen,Chip Taylor"
The Boogey Man,1980,82,Horror,4.7,5480,Ulli Lommel,"Suzanna Love,John Carradine,Ron James,Nicholas Love,Raymond Boyden"
Fade to Black,1980,102,"Comedy,Crime,Horror",6.1,5425,Vernon Zimmerman,"Dennis Christopher,Tim Thomerson,Gwynne Gilford,Norman Burton,Linda Kerridge"
The Hollywood Knights,1980,91,Comedy,6.2,5421,Floyd Mutrux,"Tony Danza,Michelle Pfeiffer,Julius Averitt,Steve Ballard,Phil Berle"
The Miser,1980,125,Comedy,6.6,5403,Louis de Funès,"Louis de Funès,Franck Cabot-David,Hervé Bellon,Georges Audoubert,Guy Grosso"
The Jazz Singer,1980,115,"Drama,Music,Romance",5.9,5260,Richard Fleischer,"Laurence Olivier,Neil Diamond,Neil Diamond,Lucie Arnaz,Catlin Adams"
Foxes,1980,106,Drama,6.1,5228,Adrian Lyne,"Jodie Foster,Cherie Currie,Marilyn Kagan,Kandice Stroh,Scott Baio"
Without Warning,1980,89,"Horror,Sci-Fi,Thriller",5.1,5209,Greydon Clark,"Jack Palance,Martin Landau,Tarah Nutter,Christopher S. Nelson,Cameron Mitchell"
The Island,1980,114,"Action,Adventure,Drama",5.3,4918,Michael Ritchie,"Michael Caine,David Warner,Angela Punch McGregor,Frank Middlemass,Don Henderson"
Eaten Alive!,1980,92,"Adventure,Horror",5.1,4898,Umberto Lenzi,"Robert Kerman,Janet Agren,Ivan Rassimov,Mel Ferrer,Paola Senatore"
The Pumaman,1980,90,"Action,Adventure,Crime",2.3,4768,Alberto De Martino,"Walter George Alton,Walter George Alton,Donald Pleasence,Miguel Ángel Fuentes,Sydne Rome"
Can't Stop the Music,1980,124,"Biography,Comedy,Musical",4.3,4674,Nancy Walker,"Ray Simpson,David Hodo,Felipe Rose,Randy Jones,Glenn Hughes"
The Garage,1980,96,"Comedy,Drama",8,4581,Eldar Ryazanov,"Alla Budnitskaya,Eldar Ryazanov,Lyudmila Tsvetkova,Mikhail Kokshenov,Vadim Zakharchenko"
Cannibals in the Streets,1980,96,"Drama,Fantasy,Horror",5.5,4578,Antonio Margheriti,"John Saxon,Elizabeth Turner,Giovanni Lombardo Radice,Cinzia De Carolis,Tony King"
Out of the Blue,1980,94,Drama,7.2,4471,Dennis Hopper,"Linda Manz,Dennis Hopper,Sharon Farrell,Don Gordon,Raymond Burr"
The Under-Gifted,1980,92,Comedy,6.5,4429,Claude Zidi,"Michel Galabru,Maria Pacôme,Daniel Auteuil,Philippe Taccini,Tonie Marshall"
He Knows You're Alone,1980,94,"Horror,Thriller",5,4415,Armand Mastroianni,"Don Scardino,Caitlin O'Heaney,Elizabeth Kemp,Tom Rolfing,Lewis Arlt"
Return to the 36th Chamber,1980,99,"Action,Comedy",6.9,4372,Chia-Liang Liu,"Chia-Hui Liu,Lung-Wei Wang,Hou Hsiao,Lun Hua,Yeong-moon Kwon"
Hawk the Slayer,1980,90,"Adventure,Fantasy",5.3,4336,Terry Marcel,"Jack Palance,John Terry,Bernard Bresslaw,Ray Charleson,Peter O'Farrell"
New Year's Evil,1980,85,"Horror,Thriller",4.9,4247,Emmett Alston,"Roz Kelly,Kip Niven,Chris Wallace,Grant Cramer,Louisa Moritz"
Every Man for Himself,1980,87,Drama,6.5,4104,Jean-Luc Godard,"Isabelle Huppert,Jacques Dutronc,Nathalie Baye,Roland Amstutz,Cécile Tanner"
Midnight Madness,1980,112,Comedy,6.3,4071,Michael Nankin,"David Naughton,Debra Clinger,Joel Kenney,David Damas,Michael J. Fox"
Loulou,1980,101,"Drama,Romance",6.6,3828,Maurice Pialat,"Isabelle Huppert,Gérard Depardieu,Guy Marchand,Humbert Balsan,Bernard Tronczak"
The Private Eyes,1980,91,"Comedy,Mystery",6.5,3799,Lang Elliott,"Tim Conway,Don Knotts,Trisha Noble,Bernard Fox,Grace Zabriskie"
Flatfoot in Egypt,1980,108,"Action,Comedy,Crime",6.1,3793,Steno,"Bud Spencer,Enzo Cannavale,Angelo Infanti,Cinzia Monreale,Karl-Otto Alberty"
Game of Death II,1980,96,"Action,Crime,Mystery",5.1,3787,See-Yuen Ng,"Tae-jeong Kim,Tae-jeong Kim,Jeong-lee Hwang,Roy Horan,Roy Chiao"
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",1980,75,"Adventure,Animation,Comedy",7.1,3678,Bill Melendez,"Scott Beach,Scott Beach,Scott Beach,Bill Melendez,Bill Melendez"
The Nude Bomb,1980,94,"Action,Comedy,Crime",5.1,3655,Clive Donner,"Don Adams,Andrea Howard,Sylvia Kristel,Rhonda Fleming,Dana Elcar"
Death Watch,1980,117,"Drama,Sci-Fi,Thriller",6.6,3641,Bertrand Tavernier,"Romy Schneider,Harvey Keitel,Harry Dean Stanton,Thérèse Liotard,Max von Sydow"
Resurrection,1980,103,"Drama,Fantasy",7.1,3573,Daniel Petrie,"Ellen Burstyn,Sam Shepard,Richard Farnsworth,Roberts Blossom,Clifford David"
Galaxina,1980,95,"Comedy,Sci-Fi",3.7,3572,William Sachs,"Stephen Macht,Avery Schreiber,J.D. Hinton,Dorothy Stratten,Lionel Mark Smith"
Fantozzi Against the Wind,1980,97,Comedy,7.1,3506,Neri Parenti,"Paolo Villaggio,Gigi Reder,Camillo Milli,Paul Muller,Plinio Fernando"
When Time Ran Out...,1980,121,"Action,Adventure,Drama",4.6,3395,James Goldstone,"Paul Newman,Jacqueline Bisset,William Holden,Edward Albert,Red Buttons"
Gerzek Saban,1980,76,Comedy,7.1,3332,Natuk Baytan,"Kemal Sunal,Kemal Sunal,Ülkü Özen,Yadigar Ejder,Riza Pekkutsal"
Virus,1980,108,"Adventure,Drama,Horror",6.2,3299,Kinji Fukasaku,"Masao Kusakari,Tsunehiko Watase,Isao Natsuyagi,Shin'ichi Chiba,Kensaku Morita"
The Umbrella Coup,1980,98,"Adventure,Comedy,Crime",6.6,3296,Gérard Oury,"Pierre Richard,Valérie Mairesse,Christine Murillo,Gordon Mitchell,Gérard Jugnot"
Macabre,1980,89,"Horror,Mystery,Thriller",5.8,3262,Lamberto Bava,"Bernice Stegers,Stanko Molnar,Veronica Zinny,Roberto Posse,Ferdinando Orlandi"
Hangar 18,1980,97,Sci-Fi,5.3,3243,James L. Conway,"Darren McGavin,Robert Vaughn,Gary Collins,James Hampton,Philip Abbott"
The Kingdom of Diamonds,1980,118,"Comedy,Drama,Family",8.8,3239,Satyajit Ray,"Tapan Chatterjee,Rabi Ghosh,Utpal Dutt,Soumitra Chatterjee,Santosh Dutta"
Everything Happens to Me,1980,102,"Action,Comedy,Family",5.8,3214,Michele Lupo,"Bud Spencer,Cary Guffey,Ferruccio Amendola,Robert Hundar,John Bartha"
Shaan,1980,181,"Action,Adventure,Comedy",7,3207,Ramesh Sippy,"Sunil Dutt,Amitabh Bachchan,Shashi Kapoor,Shatrughan Sinha,Rakhee Gulzar"
The Awakening,1980,101,Horror,4.9,3047,Mike Newell,"Charlton Heston,Susannah York,Jill Townsend,Stephanie Zimbalist,Patrick Drury"
Blood Beach,1980,92,"Comedy,Horror,Sci-Fi",4.5,3036,Jeffrey Bloom,"David Huffman,Marianna Hill,John Saxon,Otis Young,Stefan Gierasch"
The Children,1980,93,"Horror,Sci-Fi",5.4,3024,Max Kalmanowicz,"Martin Shakar,Gil Rogers,Gale Garnett,Shannon Bolin,Tracy Griswold"
The Formula,1980,117,"Crime,Thriller",5.6,2997,John G. Avildsen,"George C. Scott,Marlon Brando,Marthe Keller,John Gielgud,G.D. Spradlin"
Encounter of the Spooky Kind,1980,102,"Action,Comedy,Fantasy",7,2990,Sammo Kam-Bo Hung,"Sammo Kam-Bo Hung,Fat Chung,Lung Chan,Huang Ha,Tai-Bo"
Fun Is Beautiful,1980,97,Comedy,7.2,2977,Carlo Verdone,"Carlo Verdone,Carlo Verdone,Carlo Verdone,Renato Scarpa,Verónica Miriel"
The Competition,1980,123,"Drama,Music,Romance",6.6,2971,Joel Oliansky,"Richard Dreyfuss,Amy Irving,Lee Remick,Sam Wanamaker,Joseph Cali"
The Apple,1980,90,"Music,Musical,Sci-Fi",4.3,2847,Menahem Golan,"Catherine Mary Stewart,George Gilmour,Grace Kennedy,Allan Love,Joss Ackland"
Oh Heavenly Dog,1980,103,"Comedy,Crime,Fantasy",5.4,2845,Joe Camp,"Chevy Chase,Jane Seymour,Benjean,Omar Sharif,Robert Morley"
The Mountain Men,1980,102,"Adventure,Drama,Western",6.3,2790,Richard Lang,"Charlton Heston,Brian Keith,Victoria Racimo,Stephen Macht,John Glover"
State Bird,1980,79,"Comedy,Drama",6.8,2751,Memduh Ün,"Kemal Sunal,Serpil Çakmakli,Hüseyin Kutman,Reha Yurdakul,Bülent Kayabas"
Ekipazh,1980,144,"Action,Drama,Thriller",7.3,2729,Aleksandr Mitta,"Georgi Zhzhyonov,Anatoliy Vasilev,Leonid Filatov,Aleksandra Yakovleva,Irina Akulova"
Night of the Demon,1980,96,Horror,4.7,2690,James C. Wasson,"Michael Cutt,Joy Allen,Bob Collins,Jody Lazarus,Rick Fields"
"Oh, God! Book II",1980,94,"Comedy,Fantasy",5.3,2680,Gilbert Cates,"George Burns,Suzanne Pleshette,David Birney,Louanne,John Louie"
A Few Days from the Life of I.I. Oblomov,1980,140,"Comedy,Drama,History",7.6,2669,Nikita Mikhalkov,"Oleg Tabakov,Yuriy Bogatyryov,Elena Solovey,Andrei Popov,Avangard Leontev"
Sankarabharanam,1980,143,"Drama,Music,Romance",8.8,2636,K. Viswanath,"J.V. Somayajulu,Manju Bhargavi,Tulasi,Allu Ramalingaiah,Rajyalakshmi"
Le Guignolo,1980,108,"Action,Comedy",5.9,2625,Georges Lautner,"Jean-Paul Belmondo,Georges Géret,Carla Romanelli,Von Gretchen Shepard,Mirella D'Angelo"
Carny,1980,107,Drama,6.4,2595,Robert Kaylor,"Gary Busey,Jodie Foster,Robbie Robertson,Meg Foster,Kenneth McMillan"
Borderline,1980,97,"Action,Drama",6,2554,Jerrold Freedman,"Charles Bronson,Bruno Kirby,Bert Remsen,Michael Lerner,Kenneth McMillan"
To All a Goodnight,1980,87,"Horror,Mystery,Thriller",4.6,2530,David Hess,"Jennifer Runyon,Forrest Swonsen,Linda Gentile,William Lauer,Judith Bridges"
Karz,1980,159,"Action,Musical,Romance",7.4,2527,Subhash Ghai,"Rishi Kapoor,Tina Ambani,Simi Garewal,Raj Kiran,Premnath Malhotra"
The Hearse,1980,99,"Drama,Horror,Thriller",4.9,2500,George Bowers,"Trish Van Devere,Joseph Cotten,David Gautreaux,Donald Hotton,Med Flory"
The Great Rock 'n' Roll Swindle,1980,103,"Comedy,Fantasy,Music",6.4,2485,Julien Temple,"Malcolm McLaren,Sid Vicious,Steve Jones,Paul Cook,John Lydon"
The Fiendish Plot of Dr. Fu Manchu,1980,100,"Comedy,Crime,Fantasy",4.9,2475,Piers Haggard,"Peter Sellers,Peter Sellers,Helen Mirren,David Tomlinson,Sid Caesar"
Fatso,1980,93,"Comedy,Drama,Romance",6.2,2474,Anne Bancroft,"Dom DeLuise,Anne Bancroft,Ron Carey,Candice Azzara,Michael Lombard"
McVicar,1980,112,"Crime,Drama",6.7,2468,Tom Clegg,"Roger Daltrey,Adam Faith,Cheryl Campbell,Billy Murray,Georgina Hale"
The Unseen,1980,89,"Horror,Thriller",5.3,2446,Danny Steinmann,"Barbara Bach,Sydney Lassick,Lelia Goldoni,Karen Lamm,Douglas Barr"
Animalympics,1980,78,"Animation,Comedy,Family",6.8,2422,Steven Lisberger,"Gilda Radner,Gilda Radner,Gilda Radner,Billy Crystal,Billy Crystal"
Inside Moves,1980,113,"Comedy,Drama,Romance",7,2415,Richard Donner,"John Savage,David Morse,Diana Scarwid,Amy Wright,Tony Burton"
The First Deadly Sin,1980,112,"Crime,Thriller",5.9,2359,Brian G. Hutton,"Frank Sinatra,Faye Dunaway,David Dukes,George Coe,Brenda Vaccaro"
Tender Cousins,1980,90,"Comedy,Drama,Romance",5.4,2329,David Hamilton,"Thierry Tevini,Anja Schüte,Valérie Dumas,Évelyne Dandry,Elisa Servier"
Wholly Moses!,1980,103,"Comedy,Fantasy",4.8,2321,Gary Weis,"Dudley Moore,Dudley Moore,Laraine Newman,Laraine Newman,James Coco"
Contraband,1980,97,"Action,Crime,Drama",6.5,2314,Lucio Fulci,"Fabio Testi,Ivana Monti,Marcel Bozzuffi,Saverio Marconi,Enrico Maisto"
Fists of the White Lotus,1980,95,"Action,Drama",7.1,2313,Lo Lieh,"Chia-Hui Liu,Lo Lieh,Lung-Wei Wang,Kara Ying Hung Wai,Hou Hsiao"
La Cage aux Folles II,1980,102,Comedy,5.8,2307,Édouard Molinaro,"Michel Serrault,Michel Serrault,Ugo Tognazzi,Marcel Bozzuffi,Michel Galabru"
Return of the Secaucus Seven,1980,104,Drama,7,2299,John Sayles,"Bruce MacDonald,Maggie Renzi,Adam LeFevre,Maggie Cousineau,Gordon Clapp"
Three Men to Kill,1980,93,Thriller,6.3,2271,Jacques Deray,"Alain Delon,Dalila Di Lazzaro,Michel Auclair,Pascale Roberts,Lyne Chardonnet"
Don't Answer the Phone!,1980,94,"Horror,Thriller",4.8,2261,Robert Hammer,"James Westmoreland,Ben Frank,Flo Lawrence,Nicholas Worth,Denise Galik"
Inspector Blunder,1980,100,"Comedy,Crime",6.2,2260,Claude Zidi,"Coluche,Coluche,Gérard Depardieu,Dominique Lavanant,Julien Guiomar"
The Night of the Hunted,1980,92,"Drama,Horror,Mystery",5.5,2239,Jean Rollin,"Brigitte Lahaie,Alain Duclos,Dominique Journet,Bernard Papineau,Rachel Mhas"
Times Square,1980,111,"Drama,Music",6.6,2183,Allan Moyle,"Tim Curry,Trini Alvarado,Robin Johnson,Peter Coffield,Herbert Berghof"
Schizoid,1980,89,"Drama,Horror,Mystery",5.1,2142,David Paulsen,"Klaus Kinski,Donna Wilkes,Marianna Hill,Craig Wasson,Richard Herd"
Bye Bye Brazil,1980,110,Drama,7.4,2122,Carlos Diegues,"José Wilker,Betty Faria,Fábio Jr.,Zaira Zambelli,Príncipe Nabor"
Let There Be Light,1980,58,"Documentary,War",7.4,2087,NA,Walter Huston
Babylon,1980,95,Drama,7.3,2086,Franco Rosso,"David N. Haynes,Trevor Laird,Victor Romero Evans,Brian Bovell,Archie Pool"
How to Beat the High Cost of Living,1980,105,"Comedy,Crime",6,2084,Robert Scheerer,"Susan Saint James,Jane Curtin,Jessica Lange,Richard Benjamin,Eddie Albert"
Funeral Home,1980,93,"Horror,Thriller",5.1,2034,William Fruet,"Kay Hawtrey,Lesleh Donaldson,Barry Morse,Dean Garbett,Stephen E. Miller"
Hero at Large,1980,98,"Comedy,Romance",5.9,2025,Martin Davidson,"John Ritter,Anne Archer,Bert Convy,Kevin McCarthy,Harry Bellaver"
Khubsoorat,1980,126,"Comedy,Drama,Family",7.6,1972,Hrishikesh Mukherjee,"Rekha,Ashok Kumar,Rakesh Roshan,Shashikala Jawalkar,Dina Pathak"
Honeysuckle Rose,1980,119,"Drama,Music,Romance",6.3,1966,Jerry Schatzberg,"Willie Nelson,Dyan Cannon,Amy Irving,Slim Pickens,Joey Floyd"
Up the Academy,1980,87,Comedy,4.7,1961,Robert Downey Sr.,"Ron Leibman,Wendell Brown,Ralph Macchio,Tommy Citera,Hutch Parker"
La terrazza,1980,150,"Comedy,Drama",7.1,1960,Ettore Scola,"Vittorio Gassman,Ugo Tognazzi,Jean-Louis Trintignant,Marcello Mastroianni,Stefania Sandrelli"
The Earthling,1980,97,"Adventure,Drama",6.8,1902,Peter Collinson,"William Holden,Ricky Schroder,Jack Thompson,Olivia Hamnett,Alwyn Kurts"
Harlequin,1980,95,"Drama,Fantasy,Horror",6.1,1878,Simon Wincer,"Robert Powell,David Hemmings,Carmen Duncan,Broderick Crawford,Gus Mercurio"
The Burning Train,1980,142,"Action,Thriller",7,1862,Ravi Chopra,"Dharmendra,Vinod Khanna,Jeetendra,Vinod Mehra,Hema Malini"
Taxi to the Toilet,1980,98,"Comedy,Drama,Romance",6.5,1844,Frank Ripploh,"Frank Ripploh,Bernd Broaderup,Orpha Termin,Peter Fahrni,Dieter Gödde"
Alien 2: On Earth,1980,92,"Adventure,Horror,Sci-Fi",3.7,1822,Ciro Ippolito,"Belinda Mayne,Mark Bodin,Roberto Barrese,Benedetta Fantoli,Michele Soavi"
Little Miss Marker,1980,103,"Comedy,Drama,Romance",6.3,1796,Walter Bernstein,"Walter Matthau,Julie Andrews,Tony Curtis,Bob Newhart,Lee Grant"
The Falls,1980,195,"Comedy,Sci-Fi",7.1,1754,Peter Greenaway,"Peter Westley,Aad Wirtz,Michael Murray,Lorna Poulter,Patricia Carr"
All That Jack's,1980,83,"Comedy,Drama",8.1,1745,Goran Markovic,"Semka Sokolovic-Bertok,Bogdan Diklic,Snezana Niksic,Predrag Lakovic,Tanja Boskovic"
Rude Boy,1980,133,"Drama,Music",6.4,1742,Jack Hazan,"Ray Gange,Joe Strummer,Mick Jones,Paul Simonon,Topper Headon"
Meg of June Hill,1980,82,"Comedy,Drama,Family",6.4,1736,Göran Graffman,"Jonna Liljendahl,Liv Alsterlund,Monica Nordquist,Björn Granath,Lis Nilheim"
Devil Hunter,1980,102,Horror,3.5,1675,Jesús Franco,"Ursula Buchfellner,Al Cliver,Antonio Mayans,Antônio do Cabo,Bertrand Altmann"
Lightning Over Water,1980,91,Documentary,6.7,1642,Nicholas Ray,NA
Breaking Glass,1980,104,"Drama,Musical",6.8,1640,Brian Gibson,"Phil Daniels,Hazel O'Connor,Jon Finch,Jonathan Pryce,Peter-Hugo Daly"
Rough Cut,1980,112,"Adventure,Comedy,Crime",5.7,1612,Don Siegel,"Burt Reynolds,Lesley-Anne Down,David Niven,Timothy West,Patrick Magee"
The Last Flight of Noah's Ark,1980,97,"Adventure,Family",5.7,1597,Charles Jarrott,"Elliott Gould,Geneviève Bujold,Ricky Schroder,Vincent Gardenia,Tammy Lauren"
Zigeunerweisen,1980,144,"Horror,Mystery",6.9,1575,Seijun Suzuki,"Yoshio Harada,Naoko Ôtani,Naoko Ôtani,Kisako Makishi,Akaji Maro"
The Idolmaker,1980,117,"Biography,Drama,Music",6.9,1571,Taylor Hackford,"Ray Sharkey,Tovah Feldshuh,Peter Gallagher,Paul Land,Joe Pantoliano"
A Bad Son,1980,110,Drama,7.4,1565,Claude Sautet,"Patrick Dewaere,Brigitte Fossey,Jacques Dufilho,Yves Robert,Claire Maurier"
Erotic Nights of the Living Dead,1980,88,Horror,4.2,1561,Joe D'Amato,"Laura Gemser,George Eastman,Dirce Funari,Mark Shannon,Lola Burdan"
Doslo doba da se ljubav proba,1980,93,"Comedy,Romance",7.3,1550,Zoran Calic,"Dara Calenic,Dragomir Bojanic-Gidra,Rialda Kadric,Vladimir Petrovic,Jelena Zigon"
The Secret Life of Nikola Tesla,1980,115,"Biography,Drama",7.2,1529,Krsto Papic,"Petar Bozovic,Orson Welles,Oja Kodar,Strother Martin,Dennis Patrick"
Defiance,1980,103,"Action,Crime,Drama",6.1,1525,John Flynn,"Jan-Michael Vincent,Theresa Saldana,Danny Aiello,Rudy Ramos,Lenny Montana"
Roadie,1980,106,"Comedy,Music",5.3,1518,Alan Rudolph,"Meat Loaf,Kaki Hunter,Art Carney,Gailard Sartain,Don Cornelius"
Cabo Blanco,1980,87,"Action,Adventure,Crime",5.3,1458,J. Lee Thompson,"Charles Bronson,Jason Robards,Dominique Sanda,Fernando Rey,Simon MacCorkindale"
Goodbye Pork Pie,1980,105,"Action,Adventure,Comedy",6.8,1368,Geoff Murphy,"Tony Barry,Kelly Johnson,Claire Oberman,Shirley Gruar,Bruno Lawrence"
The Godsend,1980,93,"Drama,Horror",5.3,1352,Gabrielle Beaumont,"Malcolm Stoddard,Cyd Hayman,Angela Pleasence,Patrick Barr,Wilhelmina Green"
The Alien Dead,1980,74,"Comedy,Horror,Sci-Fi",2.8,1348,Fred Olen Ray,"Buster Crabbe,Ray Roberts,Linda Lewis,George Kelsey,Mike Bonavia"
"Fist of Fear, Touch of Death",1980,82,"Documentary,Sport",2.4,1326,Matthew Mallinson,"Fred Williamson,Ron Van Clief,Adolph Caesar,Aaron Banks,Bill Louie"
Borrowing Matchsticks,1980,100,"Adventure,Comedy,History",6.8,1317,Leonid Gaidai,"Evgeniy Leonov,Vyacheslav Nevinnyy,Rita Polster,Ritva Valkama,Georgiy Vitsin"
AC/DC: Let There Be Rock,1980,98,"Documentary,Music",8.3,1314,Eric Dionysius,NA
In God We Trust (or Gimme That Prime Time Religion),1980,97,Comedy,5.4,1288,Marty Feldman,"Marty Feldman,Peter Boyle,Louise Lasser,Richard Pryor,Andy Kaufman"
The Constant Factor,1980,87,Drama,7.2,1286,Krzysztof Zanussi,"Tadeusz Bradecki,Zofia Mrozowska,Malgorzata Zajaczkowska,Cezary Morawski,Witold Pyrkosz"
The Chain Reaction,1980,92,"Action,Drama,Sci-Fi",5.4,1281,Ian Barry,"Steve Bisley,Arna-Maria Winchester,Ross Thompson,Ralph Cotterill,Hugh Keays-Byrne"
Windwalker,1980,108,"Adventure,Drama,Western",6.8,1276,Kieth Merrill,"Trevor Howard,Nick Ramus,Nick Ramus,Nick Ramus,James Remar"
The Happy Hooker Goes Hollywood,1980,88,Comedy,3.9,1273,Alan Roberts,"Martine Beswick,Chris Lemmon,Adam West,Richard Deacon,Phil Silvers"
Scared to Death,1980,96,"Horror,Sci-Fi",4.3,1266,William Malone,"John Stinson,Diana Davidson,David Moses,Toni Jannotta,Walker Edmiston"
It's My Turn,1980,91,"Comedy,Drama",5.5,1256,Claudia Weill,"Jill Clayburgh,Michael Douglas,Charles Grodin,Beverly Garland,Steven Hill"
Aakrosh,1980,144,"Crime,Drama,Music",7.9,1246,Govind Nihalani,"Om Puri,Naseeruddin Shah,Smita Patil,Amrish Puri,Mahesh Elkunchwar"
Rising Damp,1980,98,"Comedy,Romance",6.3,1222,Joseph McGrath,"Leonard Rossiter,Frances de la Tour,Don Warrington,Christopher Strauli,Denholm Elliott"
Dangerous Encounters of the First Kind,1980,95,"Action,Crime,Thriller",7.3,1211,Hark Tsui,"Lo Lieh,Chen-Chi Lin,Albert Au,Tin Sang Lung,Paul Che"
Serial,1980,86,Comedy,6.5,1210,Bill Persky,"Martin Mull,Tuesday Weld,Sally Kellerman,Christopher Lee,Christopher Lee"
